S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,gene
30.4622,20.0382,29.2356,48.1771,24.5902,34.0079,13.4652,62.0872,51.563,187.5736,26.1933,85.0464,53.7603,123.7624,48.6877,12.188,30.6279,18.8814,17.7215,105.3982,ABCB4
470.9559,604.1889,550.3475,717.7799,341.8443,832.7865,310.1786,1322.2941,426.2295,895.5271,335.6781,767.6985,418.3402,599.5105,357.3564,1461.5728,467.2629,1703.217,326.1924,818.0499,ABCB6
561.4496,611.3232,473.9995,593.4245,497.6581,324.2725,430.8876,438.5733,390.5898,720.8481,489.7467,409.9154,461.5159,448.2948,435.5268,498.549,490.4543,422.5151,423.7975,340.4682,ABCB7
786.2395,475.5089,828.6604,416.0156,676.2295,795.5933,607.0349,850.2862,734.1283,389.2815,600.0345,322.8537,551.7039,457.6458,568.6573,412.072,692.1899,688.2793,641.0127,670.3966,ABCB8
112.1271,78.1457,111.6319,107.5326,106.9789,130.6574,110.0797,90.317,97.4315,52.4176,111.1046,74.4176,84.6093,108.6689,90.3842,114.8636,105.1884,133.3025,112.0608,151.4828,ABCB9
233.1933,314.5674,204.1697,284.5052,305.6206,433.96,313.2729,201.2329,283.9188,219.0813,269.5158,376.4611,257.3443,322.3322,262.8376,247.8236,245.4313,149.9822,216.2025,375.6009,ABCC10
492.1218,2170.8015,402.1088,1638.3464,747.6581,1455.1551,1016.7628,1513.4302,1063.4869,1381.0365,1093.2276,1079.8065,1015.2761,1602.8603,1139.5968,1455.6007,840.4288,1745.2797,752.4051,2118.8237,ABCC1
1671.7437,738.2316,1401.3899,1479.1667,805.6206,472.7578,5.2212,688.6834,586.2069,1040.636,524.2116,410.3184,799.0599,300.8801,310.7645,561.2304,814.7014,989.6687,365.5696,201.8536,ABCC2
738.4454,5807.57,645.0994,7868.4896,265.2225,2762.7829,793.8994,3842.8005,613.5997,2868.9635,228.5025,2466.3442,854.5828,1552.8053,787.3716,7682.5305,721.5926,4017.8126,219.7468,4494.1165,ABCC3
1813.0252,2072.5191,1990.8938,2679.6875,1228.3372,406.1789,1063.2042,639.3659,1135.3529,1070.0824,1211.787,527.6098,2093.7133,3129.813,1697.984,792.8033,1384.7882,955.8247,1329.1139,2246.8985,ABCC4
800.9454,1045.4835,525.2816,696.2891,1357.1429,588.672,1077.219,350.9467,802.4492,417.2556,829.2263,528.819,837.2503,510.451,867.6303,396.4016,853.9051,244.7453,854.6835,749.605,ABCC5
307.2479,357.5064,137.0717,25.7161,178.5714,155.191,5.2212,158.0801,48.018,157.5383,110.9771,83.4341,119.5652,60.5061,60.4793,82.4144,153.1394,36.694,102.2785,96.7747,ABCC6P1
393.3824,115.458,273.1848,63.151,159.2506,124.057,67.0514,138.7054,169.8356,208.4806,196.4501,97.1383,197.7086,96.8097,104.6025,116.0766,206.2277,160.6698,208.6076,188.7586,ABCC6P2
3048.8445,1915.3944,3471.8428,560.5469,792.1546,589.151,199.2306,765.3016,997.7441,1088.3392,1299.3279,484.8851,1981.1986,1196.3696,745.1502,384.2136,2256.2532,914.8557,710.8861,863.3073,ABCC6
484.7689,571.5649,315.8399,711.9141,507.0258,1269.3091,168.4529,404.2272,674.1863,835.1001,443.5637,1219.6695,1442.7145,1410.341,1074.1727,500.2902,327.1057,444.6028,271.8987,642.2904,ABCC9
259.4538,446.5649,296.1898,562.8255,225.4098,597.2937,227.535,675.9137,260.7154,463.192,280.8892,618.2991,202.4089,476.3476,318.372,609.9826,236.0388,572.1411,282.0253,538.8085,ABCD1
43.5924,70.9288,44.5723,22.4609,29.8595,62.268,4.122,32.5848,28.0374,21.4959,21.7129,25.393,48.7662,30.8031,36.5158,15.09,32.6697,11.0438,18.2278,65.4747,ABCD2
3880.7773,1585.5598,4129.4033,1687.8255,2418.6183,970.9017,3425.6664,1323.2056,2163.7125,949.6466,2925.0388,1022.9746,3223.2667,1569.3069,2156.7136,1004.0627,3134.6605,1661.5604,2776.2025,1553.8254,ABCD3
1149.1597,1097.0102,1319.4345,661.4583,847.1897,952.7003,756.2517,525.7596,967.7731,878.3863,717.9045,1171.3019,824.9119,826.1826,730.6961,787.5798,890.6585,1078.7317,663.2911,647.72,ABCD4
1038.3403,1136.7684,1137.7906,1416.3411,959.6019,1158.6636,1325.0893,1280.4932,1140.5092,1084.5112,1002.9295,1085.0464,1206.5217,790.429,1089.3876,1148.5781,1061.3578,1104.0257,1062.2785,1126.1641,ABCE1
1192.7521,930.0254,1551.8811,1091.4714,1574.356,1182.6129,1823.0283,1053.7208,1720.9152,1055.0648,1654.6614,1164.0468,1698.2961,1264.5765,1734.4998,968.6593,1710.6687,1459.9216,1884.0506,1487.0731,ABCF1
960.6092,983.4606,1077.8816,1224.6094,1031.0304,1197.9404,1417.6972,1682.0784,1174.6697,721.1425,1103.9118,833.5349,1115.1586,772.2772,1160.8977,923.3894,1134.048,1110.4382,1075.9494,1470.7843,ABCF2
1138.1303,830.4707,1154.5651,937.5,1177.4005,1165.3694,1359.989,1289.7402,1125.3626,1123.9694,1330.3464,1275.6953,972.3854,820.132,1085.2035,1202.5537,1305.5641,1242.6078,1304.8101,1476.2139,ABCF3
274.6849,1936.0687,254.9724,1265.9505,442.0375,952.7003,569.1124,1204.7556,484.6922,1625.1472,900.5687,2245.0625,368.6839,1427.9428,416.8886,946.6048,485.9622,2094.7631,494.6835,1409.4617,ABCG1
210.084,376.5903,183.0817,197.9167,224.2389,307.5081,30.2281,140.0264,292.9423,883.0978,262.6228,1941.1528,322.5617,649.0649,209.205,298.3169,193.5681,379.7649,232.9114,179.4964,ABCG2
10.5042,6.6794,3.3549,5.8594,5.8548,15.3275,15.6636,3.963,5.8008,4.7114,10.3395,20.1532,2.0564,6.6007,6.4663,12.188,0.4084,2.85,3.5443,11.498,ABCG4
2727.416,984.0967,2675.2936,1063.8021,1760.5386,734.7623,1277.5488,984.5883,1158.5562,1111.013,1745.6488,836.7594,1701.8214,1009.3509,1274.2488,1184.5618,2392.6493,1304.5957,1768.1013,877.041,ABHD10
494.2227,608.1425,471.6032,322.2656,477.1663,338.6421,1009.0684,662.7037,514.341,309.1873,446.3209,258.3636,391.0106,312.4312,515.4051,470.1103,505.9724,461.7029,591.3924,1996.8173,ABHD11
1203.2563,1754.771,1200.5751,1214.5182,1175.644,2347.9823,2302.2808,2991.1933,1048.9849,1441.4016,1402.7227,1062.0717,992.6557,1144.1144,1148.7258,2466.0476,1277.3864,1693.9793,1262.7848,2181.4239,ABHD12
404.937,429.7074,394.4405,415.3646,459.6019,397.0782,572.41,382.6508,533.9994,377.5029,437.0153,553.8089,547.5911,539.0539,553.062,340.1045,407.9632,354.471,463.2911,477.4859,ABHD13
1070.2994,205.4707,1185.3391,171.2663,459.5023,375.5239,586.2077,434.17,423.8447,183.5071,757.7598,212.7287,425.2291,400.44,336.2495,336.4945,1092.9372,326.327,636.1823,482.3374,ABHD14A
3809.8739,1385.8142,4462.9763,1178.3854,3641.1007,1912.1063,3480.0769,1927.3448,3222.3655,1578.3274,3282.7848,1470.7779,2959.7532,2163.3663,2655.0019,1903.076,4053.0883,2225.1514,3956.4557,2983.0892,ABHD14B
512.0798,395.0382,571.2916,456.7057,383.4895,522.0932,455.3449,388.8155,459.5553,432.8622,456.6603,281.7412,501.1751,387.7888,399.3914,345.9083,441.4497,496.9719,373.6709,652.5108,ABHD15
30.4622,8.9059,19.6501,13.3464,15.808,3.8319,14.0148,3.0823,16.1134,48.2921,14.4753,29.4236,8.5194,9.901,8.7486,65.0029,20.0102,25.6502,18.2278,24.5929,ABHD1
2570.9034,2948.1552,2962.8565,3532.8776,4104.2155,1658.2445,3559.4944,1405.9886,4202.7071,4330.9776,4595.2094,3060.8626,5062.2797,4267.8768,5418.7904,2167.7307,4182.5421,2859.9929,4078.481,4146.3023,ABHD2
516.8067,465.6489,434.22,207.6823,384.6604,278.769,386.0951,247.9084,346.1167,133.0978,315.6988,126.5619,295.2409,169.4169,371.2438,114.3355,297.7029,177.4136,325.0633,296.712,ABHD3
1065.6513,973.2824,1067.8169,546.224,1122.9508,928.2721,2488.321,1000,1614.8888,1410.4829,1328.2785,951.6324,1224.1481,1045.6546,1403.9559,1460.8241,1242.2665,989.6687,1227.8481,622.8077,ABHD4
629.2017,324.1094,622.5737,248.0469,631.733,319.0037,743.6109,337.7367,581.0506,257.6561,585.2145,391.7775,558.1669,410.341,516.9266,275.682,524.7575,311.7207,508.8608,617.6975,ABHD5
1680.6723,549.9364,1895.0395,402.3438,502.9274,454.0774,211.3218,437.2523,734.4505,854.2403,603.1363,760.5804,918.3314,1107.2607,517.6873,529.8897,759.9796,983.6124,417.2152,579.0515,ABHD6
341.3866,170.8015,340.762,201.1719,181.4988,172.4344,288.266,173.9322,213.9865,123.6749,338.4456,228.5369,213.5723,163.3663,230.5059,286.1288,322.6136,332.7396,274.9367,275.9517,ABHD8
1453.5609,1567.7099,1496.3623,1502.3568,1373.6183,1383.6379,1406.5485,1373.1616,1308.8527,1343.4276,1190.8737,1184.6957,1316.8155,1265.9846,1332.9327,987.812,1260.831,972.4973,1241.4734,1224.0662,ABI1
1589.8109,1230.2799,1695.6626,1585.2865,2087.2365,989.5821,2005.7708,911.9331,1721.2375,1111.6019,2018.2664,1687.2229,2062.8672,1841.5842,1831.8752,1096.3436,2040.2246,1256.5016,2122.0253,1195.152,ABI2
626.5756,828.8804,787.9224,1670.8984,546.2529,550.8322,636.1638,417.4373,1292.2978,2963.4865,1130.7944,593.7122,1779.0834,2688.6689,1172.3089,2708.6477,1088.3104,904.8807,515.9494,3666.2613,ABI3BP
182.7731,686.7048,167.745,638.0208,147.541,756.3166,98.3787,552.62,336.4486,500.2945,342.5814,1066.1024,233.5488,524.7525,198.5546,656.4132,227.0546,615.2476,204.0506,562.1239,ABI3
1628.6765,1521.9466,1972.6815,1800.4557,1843.0913,1754.9994,1809.2883,746.3672,1728.6497,1144.2874,2126.8309,2513.9057,1887.7791,2608.3608,1877.9003,1283.2269,2089.2292,1190.9512,2180.2532,1656.9879,ABL1
471.1134,1034.3511,566.9782,1318.3594,635.2459,1332.535,606.4853,1245.7067,767.3219,1510.3062,717.9045,1934.7037,841.6569,1013.2013,840.2434,1245.502,766.9219,659.4229,563.5443,1007.6709,ABL2
4123.4244,2670.1654,4428.948,3484.375,5717.2131,1854.1492,8578.4556,1239.5421,5323.8801,5070.3769,7987.5926,5662.233,6965.3349,4861.3861,5089.768,3439.9304,8465.1353,2634.8415,8196.4557,3204.1061,ABLIM1
65.6513,39.1221,131.3204,,286.2998,116.3932,38.7469,163.8045,414.7599,315.6655,149.2332,69.7299,192.1269,144.1144,294.0281,117.8178,166.2072,44.1753,232.9114,106.6758,ABLIM2
905.4622,2334.9237,1367.8409,4435.8724,1175.644,2243.5636,46.1665,5158.9608,863.0358,3378.6808,409.0987,1858.5248,733.255,2618.8119,845.5687,3565.2931,655.8448,4758.461,733.1646,1509.7497,ABLIM3
122.8992,132.3155,36.9039,7.487,260.5386,18.6804,205.0014,50.1982,354.8179,37.6914,92.0214,142.6844,97.2385,106.1606,211.8676,248.9843,351.1996,63.4129,381.7722,117.8544,ABO
21128.1513,10604.6438,25555.7153,1136.7188,3603.0445,1567.2375,7029.4037,5005.284,8787.3026,2650.4711,8949.5089,1239.8227,11465.0411,9631.4631,4502.8528,10934.9971,9892.8025,7416.1026,7792.4051,7526.3915,ABP1
1010.5042,1398.855,931.7038,1585.2865,1574.9415,1658.2445,708.4364,806.6931,1962.9391,1406.3604,1340.3412,1855.7033,1655.9929,1724.4224,1322.9365,1262.9135,1738.438,872.4617,1345.8228,2871.3032,ABR
425.4202,536.5776,422.7175,545.5729,327.2834,592.5039,495.4658,634.9626,394.457,537.9859,319.4899,615.0746,338.4254,380.6381,406.2381,563.5519,306.2787,538.2971,419.7468,522.2003,ABT1
634.979,529.5802,495.5667,639.6484,528.103,521.1352,280.8464,520.9159,544.312,482.6266,410.1327,754.1314,351.6451,530.8031,536.3256,677.8874,441.8581,630.5664,459.7468,446.8246,ABTB1
341.9118,54.0712,1224.0594,161.1328,538.6417,165.7287,997.252,384.8525,1027.7151,521.4959,725.8315,44.337,1008.2256,326.7327,469.38,65.0029,879.2241,337.0146,744.8101,370.1713,ABTB2
7682.7731,1212.4682,10531.5121,873.0469,4644.0281,1214.7048,1954.6579,1600.1761,3512.4073,1295.6419,4931.5871,1090.6892,4496.181,1940.044,3367.8205,1560.0696,5759.2649,2012.4688,5033.4177,2350.6998,ACAA1
12960.6092,6944.3384,14226.2162,3382.1615,5947.3068,1471.9195,5680.1319,1241.3034,4670.319,5985.2768,6446.6655,4970.9794,7700.3525,6069.857,5445.0361,5845.0377,7640.633,12727.1108,6746.8354,4562.785,ACAA2
577.7311,484.0967,469.6861,608.3984,697.8923,454.5563,1060.731,630.9996,809.2169,695.5241,1311.046,614.2684,950.6463,876.2376,839.4827,511.8979,793.4661,363.021,783.7975,796.2357,ACACA
1509.979,744.9109,1235.0827,963.2161,1598.9461,369.7761,1020.3353,343.9014,1148.5659,2298.5866,1959.3314,798.4684,1423.913,1019.802,992.7729,771.9095,1587.3405,872.818,1614.6835,391.8898,ACACB
