Gene	TCGA.A7.A0CE.01	TCGA.A7.A0CH.01	TCGA.A7.A0D9.01	TCGA.A7.A0DB.01	TCGA.A7.A0DC.01	TCGA.A7.A13E.01	TCGA.A7.A13F.01	TCGA.A7.A13G.01	TCGA.AC.A23H.01	TCGA.AC.A2FB.01	TCGA.A7.A0CE.11	TCGA.A7.A0CH.11	TCGA.A7.A0D9.11	TCGA.A7.A0DB.11	TCGA.A7.A0DC.11	TCGA.A7.A13E.11	TCGA.A7.A13F.11	TCGA.A7.A13G.11	TCGA.AC.A23H.11	TCGA.AC.A2FB.11
HP1BP3	12.4726	11.9975	12.3294	11.2749	12.1919	11.8443	11.4102	12.4127	11.981	12.1797	11.8614	11.8185	12.137	11.8896	12.1017	11.9689	12.0661	12.4706	12.3345	12.1183
FAM18B2	7.4404	8.4083	7.9925	8.6703	8.0596	7.863	7.9762	8.3057	7.5267	7.475	7.9216	7.6164	7.1164	7.3694	8.1042	7.3915	7.7005	7.7818	7.9773	8.0627
CPAMD8	9.7477	4.6177	8.8737	6.2999	8.253	10.9874	6.999	5.7478	5.7379	7.8808	8.8869	8.7207	7.4937	6.9016	8.7346	7.8626	10.0478	8.5068	8.7155	9.1832
CHGB	2.6053	1.8547	1.6128	0.8208	0.6876	0.513	1.3821	0.8538	0.3758	5.0199	2.8139	4.604	1.6025	0	1.7355	2.2937	3.0329	1.1506	1.052	9.6246
SNORD26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCF7L2	10.84	9.0308	8.3999	9.4961	8.995	9.3331	7.7566	9.1638	8.5769	9.2629	9.7203	9.8681	10.1986	10.2356	10.2187	10.092	10.4583	10.4288	10.8389	10.3925
NCRNA00032	0.7467	0	0	0	0	0.513	0	0	0	0	0.7092	0	1.0131	0	0.9501	0	1.4834	0.8586	1.6539	0
OR10AD1	0.7467	1.2069	1.6128	0.468	0.6876	0.513	0	1.3864	0	0.7211	0	0	0	0	1.7355	0	0.9246	0.4923	1.4798	0.6793
MSN	13.3343	11.973	12.1274	12.4111	10.6365	11.9083	12.9551	11.6476	11.8692	13.2089	12.8217	13.5547	13.9561	13.8673	13.5115	13.8636	13.5287	13.5008	13.548	13.674
LENEP	0.4212	1.4565	0.4974	0.8208	0	1.6486	0	1.0539	0	1.1996	0.3978	0.4606	0	0	0	0	0	0	0	0.3793
LEPREL2	9.2691	9.3345	8.2163	9.4566	9.3457	11.1366	7.4437	9.9595	8.355	7.8946	9.6365	9.0878	7.9803	9.2374	8.9887	8.2594	8.5918	6.8841	8.4209	9.1561
LEPREL1	9.9664	6.2315	6.009	6.4963	4.1027	4.969	6.4015	6.3573	5.4739	7.6857	9.212	8.0377	7.0704	7.7852	8.4143	8.0469	8.8325	8.3358	9.365	9.116
TIGD2	9.21	6.5463	7.1266	7.4604	7.3604	9.0686	5.3203	6.9156	7.4737	7.778	8.0401	7.3397	6.4522	6.2133	7.5993	7.2081	8.0525	7.3689	8.5099	7.8003
NECAB3	7.9231	8.9819	9.1505	9.5845	11.8909	8.4024	9.8167	10.2566	8.8818	8.4913	9.0339	8.6855	7.9803	7.9804	9.361	7.8134	8.0303	8.3376	7.5747	8.0184
COL20A1	0	0	0	0	0	0.513	0	0.6211	0	0	0	0	0	0	0	0	0	0	0	0
LOC100268168	2.2416	3.1457	4.1602	2.9813	3.3446	3.6473	2.5408	3.4176	2.1924	3.4229	2.8139	2.7316	3.1106	1.3485	2.9115	3.0563	3.2527	2.7427	1.9495	2.8707
OPLAH	8.7328	8.2629	11.5455	8.3653	10.509	9.5687	9.486	7.6941	8.3976	7.3723	8.5223	8.8225	8.1605	7.8086	8.8971	7.8626	8.067	8.526	6.4527	7.3626
SEC31A	12.2552	12.2821	12.3929	12.6616	11.9633	12.7477	12.1398	12.5403	12.5875	12.2483	11.813	12.0484	12.7288	12.4021	12.2195	12.4353	11.9417	12.2599	12.7486	12.2406
XBP1	12.2015	15.8073	16.0316	15.3572	16.7066	11.4647	16.0287	16.7519	16.1215	15.3917	15.4654	14.6651	11.2732	11.1832	14.92	13.62	12.9476	11.3293	14.0737	14.2623
UBOX5	8.0012	8.3191	8.8617	8.5955	9.0978	8.8328	7.4367	8.6868	8.7745	8.2891	8.4389	8.5515	8.3367	8.0381	8.4685	8.3157	8.6589	8.5441	8.4579	8.6866
ANKRD5	8.1276	8.7162	9.7381	8.5697	8.7346	8.6977	8.5779	9.9232	9.5123	8.2314	7.5496	7.3728	8.0091	7.0094	7.9183	7.723	7.2122	8.954	7.7016	7.153
ANKRD6	7.7923	6.7922	7.6721	7.4128	5.2088	5.6681	7.2477	7.2445	7.4	8.5436	8.0952	7.6664	7.6908	7.6386	8.1896	7.7722	8.4671	8.0819	8.588	8.1451
ANKRD7	2.4349	0	1.795	0	3.0039	0	0	0	0	0.98	1.5384	1.3245	0	0	1.2618	1.3008	2.4569	0.4923	1.4798	0.6793
ZNF846	5.4833	6.2728	6.2308	6.3549	7.044	8.2243	6.72	6.8329	5.3739	5.9529	6.7673	6.1641	6.4096	6.338	6.3508	6.5119	7.0009	7.109	6.8739	6.4429
ANKRD1	4.166	3.2151	1.795	1.8806	0.9379	3.1188	1.7696	2.253	6.3192	0.4051	2.4448	2.361	2.9296	0	0.5519	2.8763	0	1.7824	1.6539	0.3793
ANKRD2	2.5226	1.6693	1.795	2.0234	0.9379	0	5.3348	0.3438	0.9204	0.4051	2.8139	1.7034	2.0197	3.5637	1.518	1.5615	1.2309	1.1506	0.4413	1.4875
AQR	9.3575	10.4509	10.1133	10.182	10.3058	9.7804	10.8492	10.7479	10.7394	10.5619	10.0025	9.6551	10.2502	9.8839	10.2249	10.2132	10.0435	10.1534	10.2549	9.9446
ANKRD9	8.7466	5.9351	5.6317	6.7891	5.1496	5.7421	5.6321	6.8566	5.6721	4.132	6.5053	6.9628	6.5016	5.9858	5.819	6.0526	6.1416	5.8256	4.703	5.5173
BCMO1	5.6386	0.9048	4.0208	1.7221	0	3.4917	1.9302	0.3438	2.5263	1.97	2.2659	1.5264	2.4809	1.6144	2.0915	1.9736	2.0507	0.4923	3.8318	2.6116
AHDC1	9.4548	9.8378	9.1305	9.3631	8.3866	10.6685	8.838	9.7256	9.7803	9.4815	10.1187	9.7279	8.8415	9.3511	9.5486	9.4404	10.1993	8.2878	9.74	9.8985
GLI3	9.5014	11.5244	9.5449	10.8327	11.4129	6.6873	10.3957	11.0783	10.7761	10.5332	10.4	9.7539	9.3694	9.9342	10.7325	9.9857	10.1293	9.6608	10.944	10.4795
GLI1	3.0213	1.2069	3.647	4.8943	2.829	2.6146	4.2534	3.5227	1.8789	6.0759	4.3703	5.715	6.0811	6.1094	5.8542	6.1939	5.5205	5.4361	5.8818	6.8374
TFIP11	9.5479	10.426	9.9794	9.4895	9.9405	9.1912	9.8884	10.5738	10.7549	9.7231	10.0395	10.1698	9.538	9.4594	9.7136	9.4912	9.5946	9.02	9.3772	9.8366
AQP12B	0	1.4565	0.4974	0.468	0	0	0	0	0	0	0	0.4606	0	0	0	0	0	0	0	0.3793
AQP12A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FSHR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8586	0	0
DISP1	8.302	8.2464	8.2123	8.4688	7.5835	7.2616	7.3895	8.3829	8.6694	8.0841	8.2533	8.118	8.6844	8.8752	7.8236	8.6858	8.3068	8.0561	8.7838	8.3098
MPPE1	9.6317	9.302	8.4902	9.1751	8.9906	9.0845	9.4787	9.8342	8.3576	9.6469	9.8535	9.467	9.6381	9.5156	9.4881	9.6521	9.7239	9.3668	9.2645	9.5507
DISP2	5.7699	8.4508	4.5883	3.9239	3.5084	2.5103	8.9779	9.0708	4.042	7.2362	6.8844	7.1616	4.908	2.945	3.8122	4.0542	5.4482	6.6989	3.2063	6.9364
YME1L1	11.8803	11.9173	12.0402	11.9725	11.8851	13.1474	11.8022	11.9871	12.0003	12.0617	11.7089	11.2972	11.7832	11.7239	11.6997	11.628	11.4841	11.8005	11.9204	11.6369
TMEM145	3.3439	3.9844	4.7515	4.7782	5.7499	0.513	5.4048	5.6888	1.3149	5.5556	2.4448	2.0032	0	0	2.8192	0	1.2309	0.4923	0	0.3793
PEF1	10.4496	10.8068	10.5328	10.772	10.5237	10.6325	10.9414	10.594	10.6559	10.788	10.8753	10.9206	10.6093	10.4863	10.42	10.8066	10.7698	10.3617	10.7529	10.8415
GDNF	0.4212	2.019	0	0.8208	0.6876	0.8907	0	0	0.9204	0	0.3978	0	0	0	0.9501	0	0	0	0.4413	0
LONP2	10.043	10.6235	11.5133	10.4205	12.5163	10.8049	11.6652	10.7652	11.599	10.8053	10.9559	11.0689	11.0845	10.4733	11.4383	11.1103	10.7831	11.2131	10.7643	10.5616
COL8A2	7.81	11.1508	9.2621	10.9441	6.5841	9.6174	8.1847	10.2371	10.7291	9.7092	10.4118	9.7021	8.9042	10.0586	9.9229	9.3419	9.9659	7.0438	10.4428	10.7132
COL8A1	8.0503	9.9761	9.8867	10.0448	4.4835	9.1532	8.1707	9.2025	10.252	8.1775	6.6121	7.7708	11.3931	9.5859	8.5133	9.4292	7.8455	7.8247	8.5804	9.1583
HNRNPA1L2	11.5204	10.915	10.4503	11.284	11.2801	10.8121	10.652	10.7952	10.6291	11.256	11.3872	11.0465	10.6055	10.6076	10.9902	10.5817	11.048	10.6933	11.5674	11.4529
PDGFD	7.6943	9.0416	8.4295	8.9353	7.6704	6.2264	9.3994	10.1118	6.7918	9.6293	10.2019	10.0279	10.7079	10.402	10.5584	11.2279	10.5103	11.2332	11.5817	11.1943
TSGA14	9.2009	8.2872	9.0951	8.7943	8.2616	6.8879	8.5688	6.8532	8.0559	8.335	7.9393	7.6051	7.9715	7.8766	8.0485	8.2502	8.0815	7.7228	8.2967	7.85
HCCS	9.0623	8.4758	8.7523	8.5194	8.8169	8.2966	9.0142	8.1404	9.302	8.6335	8.5494	8.6868	8.8206	8.6307	8.7949	8.5776	8.4637	8.6466	8.5282	8.4615
MTMR8	4.2194	0.9048	0.886	2.7544	3.1598	4.3067	4.3112	3.4535	0.6736	4.0211	3.2587	3.0912	4.4173	4.2115	3.3673	3.0563	3.8096	3.4811	3.9366	3.7364
GTF2E2	9.5466	8.9668	8.4415	8.9787	8.4396	8.5592	9.3362	8.745	8.1526	8.8241	8.8306	9.2346	9.9391	9.6156	8.9834	9.2639	8.938	9.7629	8.9147	8.8822
SPATA3	0	0.9048	0	0	0	0	0	0	0	0.7211	0	1.0897	0	0	0	0	0	0	0.4413	0
DMKN	9.5687	8.0323	10.26	7.8416	9.4164	11.7139	8.4278	7.7511	7.0206	7.4705	9.6756	8.4295	4.3468	4.5339	8.1956	7.031	8.5715	4.0403	8.6769	8.8336
UBA7	9.0949	9.8254	8.1552	10.1781	6.1786	7.6283	8.2432	9.9781	6.8034	9.985	10.095	9.8687	9.3837	9.6796	9.047	9.5618	10.1264	9.7602	9.4966	9.9608
