logFC	AveExpr	t	P.Value	adj.P.Val	B
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	-0.311598760804336	0.0143761260209878	-4.28160249646416	0.00020789042959873	0.000879536432917703	0.424112690399968
KEGG_CHEMOKINE_SIGNALING_PATHWAY	-0.364213206557244	0.00978006615261555	-4.23699710871051	0.000234210873670407	0.000966119853890429	0.309030491935497
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	0.358511247918723	-0.0396132232483516	4.21405826128945	0.000249004351180601	0.00098880682587074	0.249933666604695
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	-0.355009043935613	0.00937258712214687	-4.21002956113528	0.000251696282948916	0.00098880682587074	0.239560831808738
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	-0.306697640559748	0.0405621377049729	-4.15499531969707	0.000291482681621781	0.0011184800573859	0.0980555614813792
KEGG_BETA_ALANINE_METABOLISM	-0.41439975245111	0.01850294910095	-4.13162636087315	0.000310200890309573	0.0011516057052593	0.0380819982679022
KEGG_NUCLEOTIDE_EXCISION_REPAIR	0.364009619708316	-0.069577311940514	4.12696485256009	0.000314074283252535	0.0011516057052593	0.0261271936443004
KEGG_MELANOGENESIS	-0.280735635276388	0.0183936978332696	-4.10276671597447	0.000334961513911242	0.00118988541270412	-0.035884968852443
KEGG_GRAFT_VERSUS_HOST_DISEASE	-0.544805454633396	0.0478149159803292	-4.09833018835839	0.000338937056952084	0.00118988541270412	-0.0472459188664365
KEGG_MAPK_SIGNALING_PATHWAY	-0.258459161600789	0.0159514175294401	-4.08617613263224	0.000350068246984496	0.0012033595990092	-0.0783560466521322
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	-0.302091201784478	0.0212681654914495	-4.07016676431877	0.000365282190823487	0.00123003186705868	-0.11930341125884
