Gene_name	S02_Normal	S03_Normal	S05_Normal	S06_Normal	S10_Normal	S02_Tumour	S03_Tumour	S05_Tumour	S06_Tumour	S10_Tumour
B4GALNT3	148	14	149	104	230	224	98	66	33	133
SLC35F3	0	5	0	16	24	18	23	0	49	3
SMTNL2	0	1	0	10	9	0	15	0	0	2
HMCES	622	273	365	581	1428	462	186	323	46	626
HACD2	7	22	54	27	60	46	25	30	0	9
ASMT	13	0	0	0	15	0	0	0	0	5
ODF2L	59	15	100	65	48	161	90	115	29	58
SCD	46	26	28	68	393	28	0	0	0	35
PPP2R5D	215	69	257	208	241	219	64	69	42	82
DLX5	77	29	35	53	46	59	70	11	0	34
XPO1	447	128	404	171	343	171	118	122	0	154
FBRSL1	115	50	297	135	130	161	231	211	100	43
ADA	42	11	46	22	23	0	57	8	0	6
GAL3ST1	0	7	2	3	9	0	0	0	0	0
OR11H2	0	0	0	0	0	0	0	0	0	7
RXFP2	0	0	0	0	0	0	0	18	0	2
TTBK2	0	2	0	0	0	0	0	0	0	0
RAB33B	232	67	92	141	137	134	103	60	37	44
A2ML1	442	65	210	212	145	111	129	285	225	108
RBBP7	25	3	0	76	37	17	0	43	0	12
FH	165	101	61	116	276	162	55	54	0	111
TMEM14B	0	0	25	0	0	0	0	9	0	0
CELF4	0	0	0	0	0	0	0	0	0	0
THAP3	37	34	53	88	70	49	115	62	178	51
SLU7	297	104	252	252	474	309	202	268	408	322
MINDY2	354	31	168	176	173	235	218	98	167	275
TPRA1	32	8	0	4	12	0	8	19	0	1
TAF1C	407	101	698	160	184	428	641	585	362	80
TFR2	0	2	0	0	12	0	0	10	0	4
RBP1	56	32	85	8	37	58	87	75	37	17
APOBEC3C	1092	602	887	1546	2374	1054	438	821	242	729
RFLNB	0	1	0	0	0	0	0	0	0	2
DIAPH3	0	0	0	0	5	13	0	0	0	11
TRIM21	104	52	34	115	128	74	76	142	138	225
SIDT2	300	114	64	170	211	118	65	56	0	8
SPHKAP	0	0	0	0	0	0	0	7	0	1
ZADH2	314	109	280	218	360	294	355	235	174	135
SPDYE2	0	0	0	0	10	0	6	0	0	5
KCTD4	20	7	0	13	10	0	0	0	0	1
RRAD	14	3	16	4	35	0	13	0	0	5
FTL	4186	998	5247	2429	3439	5444	1780	5401	3276	1805
ARHGAP11A	127	78	249	50	185	125	290	336	304	366
PPP2R5B	196	62	143	161	266	267	104	106	46	109
SLC27A6	5	0	0	0	0	6	0	0	0	0
KCNA4	0	3	0	0	0	0	0	0	0	1
CALCOCO2	1169	339	462	1060	999	389	216	444	136	604
GCH1	47	14	0	21	51	57	10	43	0	30
DNAJC24	22	7	0	20	17	1	0	0	0	20
COA1	259	89	229	78	220	323	183	267	34	175
CATSPERZ	36	0	14	10	4	0	0	0	0	0
AP1G2	98	14	63	35	32	58	32	30	0	9
RIPK4	16	22	52	31	89	58	84	143	38	143
TMED8	158	100	244	259	362	324	377	628	137	627
CTSC	383	252	775	475	702	250	176	389	42	214
NRN1	208	83	0	311	135	276	34	51	162	96
FAXC	0	3	46	44	35	15	4	14	0	58
SEC14L5	0	2	21	33	11	0	0	0	0	2
WIPI2	101	61	85	70	198	36	0	52	0	20
SV2A	0	0	0	5	0	0	9	0	48	2
PAQR9	0	0	0	0	0	0	0	0	0	0
LYRM7	0	0	0	0	0	0	0	0	0	2
MTRNR2L4	0	0	0	1	0	0	0	0	0	0
TMPRSS5	32	1	0	3	12	0	0	0	0	4
OR1D2	0	0	0	0	0	0	0	0	0	0
C3orf14	0	8	0	14	31	62	0	15	0	54
CCDC144A	133	50	173	23	149	204	12	81	0	100
MIGA1	13	14	0	12	28	0	18	14	1	11
LNX1	157	18	116	142	190	68	33	123	0	29
OR51B4	0	0	0	0	0	0	0	0	0	1
KCNQ5	0	0	21	5	12	36	0	12	0	6
OR51A4	0	0	0	0	0	0	0	0	0	0
GTF2F1	286	100	274	292	336	257	173	134	36	113
KCNH1	39	0	12	53	3	40	0	8	0	6
GUCY1A2	132	17	98	199	78	360	241	231	151	42
TMEM63A	59	47	114	34	61	36	35	44	0	16
TANC1	27	5	33	31	19	41	14	16	28	3
SNX24	42	9	0	24	47	35	10	54	0	36
TNFRSF11B	0	4	0	0	2	37	0	0	0	2
LYZL1	0	0	0	0	0	0	0	0	0	2
EPHX2	58	48	58	60	101	38	10	0	0	36
KHDRBS2	0	0	0	0	0	0	0	0	0	0
C22orf39	0	2	0	0	0	0	6	8	0	0
VRTN	0	0	16	0	1	3	7	1	0	1
STOM	76	92	282	412	342	107	78	116	38	39
U2AF1	1172	532	928	1238	2430	1913	945	1807	389	1512
ZC3H12C	103	34	86	126	91	35	73	39	0	38
GUCA1B	19	5	26	17	22	44	44	65	0	7
OMG	0	0	3	0	0	0	0	0	0	1
PDZD4	35	10	0	83	13	1	17	0	0	13
AQR	80	29	18	115	59	119	56	12	69	56
TMEM87A	262	148	546	269	335	479	562	716	90	362
RIMBP2	21	11	0	16	10	0	0	0	0	0
NOTCH2	442	127	290	384	480	305	125	199	0	214
C5orf67	0	0	0	0	0	0	0	0	0	0
GTPBP10	0	7	0	0	4	0	0	0	0	5
ZNF789	73	12	61	33	34	31	10	0	0	16
PLG	0	0	0	0	0	0	0	0	0	0
ZNF705E	0	0	0	0	0	0	6	0	0	2
PARD6G	176	20	3	77	55	134	67	0	31	26
ADAMTSL2	32	6	40	26	34	36	81	54	0	22
NUFIP1	19	22	99	1	32	90	16	11	0	21
LARS2	141	173	463	272	522	349	261	394	39	128
KCNA5	10	1	0	7	6	22	10	0	0	7
ANO1	45	34	0	54	52	121	115	25	66	19
APEX1	18	17	372	501	511	6	25	287	134	316
OR2A7	0	0	0	0	0	0	0	0	0	1
MON2	103	38	88	81	98	55	85	50	0	90
KCNJ3	0	0	0	0	0	0	0	0	0	0
TDO2	24	0	33	26	17	236	9	86	0	59
GPRIN2	83	37	52	43	69	31	58	95	88	53
POM121C	327	101	208	374	403	247	148	258	32	267
ASF1A	74	34	50	74	161	264	27	57	55	135
ODF2	91	56	153	126	106	211	135	150	0	106
PGAM5	348	199	612	411	741	828	772	1281	760	782
FBXL17	60	41	93	92	172	161	96	175	101	87
C2orf66	17	0	0	0	0	11	0	0	0	6
CD1B	0	4	0	0	45	0	14	39	0	2
AP5M1	52	21	52	20	73	68	28	90	82	45
RNF111	141	35	57	54	176	20	0	30	0	79
SNTG1	0	0	0	0	0	0	0	0	0	0
CEP295	33	4	0	11	28	14	0	0	0	38
PRODH	237	52	0	38	71	37	82	59	0	30
ZNF800	55	5	0	15	23	36	9	2	0	13
ARL2	87	31	116	92	56	78	103	58	44	27
ACVR1B	2	8	2	3	47	9	12	4	0	9
HDHD5	423	300	154	434	686	364	260	345	114	384
BARHL2	0	0	0	0	0	0	0	0	0	5
ACOT6	0	0	0	0	11	0	0	0	0	3
SHPRH	32	18	0	22	34	0	0	25	0	82
CMKLR1	134	66	126	191	283	65	36	33	0	60
LEUTX	0	0	0	0	0	0	0	0	0	0
DTL	116	38	17	18	38	43	35	125	44	119
NLRP8	0	0	0	0	0	0	0	0	0	1
BEND3	0	0	24	4	6	0	0	11	0	8
ZSCAN16	40	26	93	5	55	67	0	24	0	38
DUSP23	733	475	798	769	1209	1478	1188	1771	709	1168
MED23	150	91	224	172	369	189	99	65	38	255
MEGF6	0	9	20	39	5	0	0	0	0	1
LINGO1	0	11	0	33	13	38	16	16	0	4
NOX4	81	20	60	42	71	256	25	51	0	58
IPO11	915	180	534	407	1046	804	797	1399	267	885
AGR3	0	0	0	0	0	0	0	0	0	0
TPST1	646	137	439	627	395	380	211	132	91	110
TMEFF2	0	1	0	0	12	0	9	0	0	0
CRYL1	702	230	509	590	601	520	160	289	86	314
ITPRIPL2	39	18	115	79	15	74	75	202	229	28
PPP1CB	1714	788	1523	1994	3002	2204	1426	1709	1227	1769
RHBDL2	124	16	88	54	125	21	44	144	64	75
MED28	57	25	37	32	64	90	29	43	77	13
TAS2R60	0	2	0	0	3	0	0	0	0	0
CNTN1	194	66	262	191	162	207	31	44	41	22
CACUL1	100	13	0	9	63	18	11	16	0	92
DIO1	0	0	0	0	0	0	0	0	0	0
GAL	211	1552	1281	4	1805	377	339	117	0	30
DHFR2	44	20	25	34	33	14	26	0	80	37
BPIFB3	0	0	0	0	0	0	0	0	0	0
ANXA6	61	40	0	118	82	40	16	0	0	6
COMMD4	260	141	325	369	418	373	348	312	0	200
SLC2A4RG	91	39	149	71	62	207	275	302	99	17
CCDC103	0	3	0	0	0	0	10	0	0	3
CNR2	0	0	21	5	0	0	17	0	0	2
SNX14	118	56	215	85	88	69	24	59	0	37
IQCF6	0	0	0	0	0	0	0	0	0	0
VRK3	13	59	100	57	105	102	134	96	75	77
TAS2R38	0	0	0	0	0	0	1	0	0	0
PANX2	0	4	0	15	21	14	1	0	0	6
DCAF11	321	238	344	288	527	425	246	303	102	248
PLAAT3	0	2	0	5	10	0	0	0	0	1
KANSL2	160	35	178	71	90	68	114	172	34	43
FOXK1	202	75	48	279	402	162	105	174	2	322
GALNTL6	0	0	0	9	0	19	0	0	0	4
CHAMP1	18	21	0	32	20	15	7	6	21	6
MILR1	33	6	0	16	36	57	0	20	0	9
RAPGEFL1	1855	562	1342	534	1061	336	481	324	153	435
ATP12A	141	189	262	4	914	32	63	78	46	25
TFG	637	322	587	745	814	1318	1380	1557	1360	835
ANPEP	145	141	482	877	454	445	241	272	185	113
CRNN	305	34	34	37	12	0	11	0	0	4
MIEF2	35	6	0	8	4	0	23	35	0	0
PTCHD3	0	2	0	1	5	0	0	0	0	1
TOX	0	2	0	10	3	11	15	0	0	0
ARHGAP23	273	95	268	240	293	191	77	155	122	53
USP16	39	10	23	32	62	18	23	38	0	55
MYCT1	67	42	170	161	59	64	92	26	123	18
PTP4A2	415	112	489	169	263	424	105	515	209	117
COL2A1	0	0	0	0	0	0	7	0	0	1
ALK	14	0	0	0	0	0	0	0	0	4
DDC	4	9	0	0	0	0	0	1	0	0
COL6A1	3516	1979	2252	17743	5069	6030	1756	1079	349	1456
DCANP1	0	0	0	0	0	9	0	0	18	0
CAMTA1	378	137	189	496	513	485	111	146	98	219
Mar-05	21	3	51	12	67	31	0	12	36	56
FMN2	12	0	0	1	6	0	0	0	0	0
DIPK2B	0	0	0	0	3	0	0	0	0	1
CNTFR	44	75	175	48	135	0	0	0	0	5
NUDT12	0	1	0	0	3	0	0	0	0	3
SPOCK1	21	41	212	125	32	63	42	35	0	8
PDGFD	118	62	107	903	200	74	61	9	0	53
PLA1A	0	9	0	13	24	23	0	11	0	7
HNRNPUL2	1114	437	768	1189	1711	1166	933	1115	492	527
SYAP1	303	96	271	246	416	417	317	322	594	189
WDR75	7	5	0	14	9	17	0	0	0	7
C6orf132	1269	247	429	674	1149	638	278	327	355	145
SLC9A7	35	45	97	48	135	45	51	67	36	33
ACTL9	0	0	0	0	0	0	0	0	0	0
TMEM258	41	69	211	133	172	246	175	176	36	74
LANCL2	194	53	132	225	233	320	161	339	250	113
LONRF3	0	0	0	0	0	10	0	0	23	1
ATL3	181	123	128	298	399	300	197	226	331	107
ARMCX4	90	17	0	65	62	100	59	96	37	8
OR1G1	0	0	19	0	0	0	0	0	0	1
ZNF560	0	0	0	0	0	0	0	0	0	0
ANKRD31	18	1	0	0	1	16	0	0	0	2
MYCN	14	19	45	25	10	31	6	26	0	4
ELMSAN1	78	11	0	45	53	44	8	26	0	5
DYDC1	0	0	0	0	7	1	0	0	0	1
FAM114A2	25	15	0	37	43	6	16	0	0	32
KCNIP2	17	5	25	0	8	25	11	12	0	3
C1orf68	807	61	35	646	216	0	40	128	104	2
COG3	360	88	315	201	298	306	132	260	58	151
OR1E1	0	3	0	0	4	0	0	0	0	0
COMTD1	33	46	31	59	82	113	102	46	78	27
BMP2K	88	8	0	43	49	46	56	72	0	18
FRS3	0	13	126	49	39	74	25	26	0	18
TLR1	27	3	0	21	8	12	31	33	0	3
TNRC6A	608	223	706	566	559	572	320	409	112	305
KCTD15	312	40	170	164	132	302	200	173	127	68
TRDMT1	32	24	53	59	92	71	109	54	1	38
DPRX	25	1	0	6	8	11	0	0	0	9
SOX7	96	37	77	34	73	59	60	84	224	23
RAB28	247	81	242	206	222	199	102	148	0	134
BMS1	365	236	504	465	760	563	407	585	257	400
FIBP	272	125	197	425	389	641	311	407	470	217
CPLX1	0	6	1	0	12	0	5	13	0	6
AMOTL1	1113	464	784	1697	1031	1146	998	688	654	252
HBS1L	57	4	25	26	12	20	0	0	0	14
ZNF583	13	11	0	40	35	44	13	7	0	42
PGAP1	49	13	88	33	19	51	40	33	0	21
RXFP1	0	0	0	3	0	0	0	0	0	0
IFT27	81	13	40	38	56	46	15	53	9	17
SLC25A42	0	0	3	0	4	0	0	0	0	1
CD5	20	17	89	22	71	49	32	10	34	3
CSF2RA	208	159	371	86	166	191	258	413	41	28
NEU3	125	78	199	180	273	257	165	266	55	99
SEC62	115	30	51	46	156	46	37	42	0	128
PIP5K1B	14	8	0	10	41	0	0	16	0	4
SNX29	693	375	767	871	1136	1004	788	500	380	510
ANKRD33B	10	0	0	6	5	0	0	0	0	1
PPP1R17	0	0	0	0	0	0	11	0	0	0
PTPMT1	41	20	41	18	23	29	26	25	38	5
SLC7A13	0	0	0	0	0	0	0	0	0	0
APOBR	221	166	156	286	472	361	228	395	67	155
SPINDOC	64	18	80	32	99	113	97	20	0	55
ROBO2	275	59	87	511	295	57	34	79	76	61
LRRC8E	177	35	0	100	136	59	56	28	144	67
OR1E2	0	0	0	0	5	19	0	0	0	0
JRKL	41	10	43	34	71	10	2	27	0	20
ITIH5	289	137	165	938	745	7	0	0	0	39
RAB37	16	18	194	53	84	95	103	85	0	46
FARP1	64	34	47	83	86	85	15	60	0	27
POMGNT2	303	117	224	427	453	226	141	368	239	207
SKIL	328	84	97	230	236	469	268	252	287	119
CECR2	69	112	264	9	142	33	14	42	37	23
RILP	12	15	41	11	7	20	7	14	0	2
TFEB	0	0	21	0	6	0	12	12	0	1
AP2A1	55	31	20	50	76	51	12	20	57	18
OGT	700	223	605	412	796	574	166	285	31	214
SPINT3	0	0	0	0	0	0	0	0	0	2
ICOSLG	0	0	26	0	9	7	0	0	0	0
KIAA1671	464	112	189	312	425	282	232	172	73	200
TTC9B	0	0	0	0	0	0	0	0	0	0
CYS1	43	28	0	92	43	105	22	66	31	15
DUXA	0	0	0	0	0	0	0	0	0	2
PPME1	824	402	768	850	1742	1024	793	1401	379	934
KLB	5	1	37	6	32	0	0	0	0	0
ARID3A	8	12	0	15	44	38	87	12	0	10
HMSD	10	0	23	0	10	9	0	22	56	12
STEAP2	108	25	66	66	99	93	0	59	0	13
MESD	271	57	91	199	214	236	22	70	31	101
RBMS1	263	75	216	179	198	236	79	98	125	130
CFAP36	97	13	84	41	40	51	21	6	36	28
APLP1	30	5	27	24	31	12	6	3	0	22
CYYR1	75	40	68	84	42	84	35	0	37	16
Mar-01	77	33	28	13	135	14	0	0	0	23
CALCOCO1	741	314	611	463	745	321	353	804	195	364
TMEM51	82	37	58	56	147	235	468	584	284	134
PEG10	47	9	2	64	28	72	0	1	62	15
COL28A1	21	10	0	12	8	7	0	0	0	1
RCOR1	48	21	113	28	81	78	119	16	0	18
OR52I2	0	0	0	0	0	0	0	0	0	0
POLR1E	26	15	0	97	38	88	37	55	41	26
WDFY2	333	73	238	158	228	233	196	169	79	87
SYPL2	0	74	35	1	83	11	12	0	0	4
HCN3	30	19	28	28	31	18	24	47	0	50
IQSEC3	0	4	0	0	0	10	2	0	0	0
KLHL15	77	36	117	45	136	53	110	97	42	48
C6orf223	0	0	0	0	0	0	0	0	0	1
GASK1A	25	1	118	30	21	17	0	17	0	0
ZMYND8	44	28	80	33	43	53	0	41	35	8
ZBTB12	0	9	21	13	21	25	7	18	0	14
TBX21	0	6	0	2	9	16	0	39	0	11
RGPD6	219	39	161	121	140	171	39	129	32	79
IFNA14	0	0	0	0	0	0	0	0	0	0
CIP2A	27	2	39	8	36	47	60	84	36	49
OR52R1	0	0	0	0	4	0	0	0	0	1
TACO1	41	6	0	31	23	63	55	46	0	14
PRDM5	104	25	112	68	66	52	26	26	70	23
EPB41	428	247	616	253	591	301	154	344	80	261
TNS3	294	89	342	237	290	400	178	199	42	120
ZSCAN22	38	19	61	33	71	40	28	14	0	58
GET4	151	171	468	139	396	291	224	433	281	174
FNIP2	141	49	124	99	208	251	80	88	38	61
FBP1	0	22	0	7	38	9	23	32	0	6
RFTN1	354	108	344	507	637	323	145	230	91	222
OR52N2	0	0	0	1	0	0	0	0	0	2
C17orf100	0	0	11	0	0	0	0	0	0	1
ELAC1	16	10	26	5	7	13	0	0	0	4
TGM7	0	2	0	0	7	0	0	0	0	0
CUZD1	0	0	0	0	9	15	0	0	0	0
DDX49	901	306	563	829	1142	790	319	788	296	815
ADAMTSL1	11	1	0	12	14	54	0	0	0	1
HCCS	256	101	135	261	353	215	59	173	0	230
NOL7	351	86	216	380	464	386	65	239	137	340
LARP4B	194	99	132	223	318	244	100	226	0	320
OR52K2	0	0	0	0	0	0	0	0	0	1
CDV3	432	222	405	415	873	378	92	157	105	202
GCNA	13	0	28	0	12	10	24	0	0	0
ATPAF1	285	108	191	258	288	136	43	69	127	175
UVSSA	50	57	163	90	93	90	144	173	67	75
CASKIN2	30	40	72	84	138	47	52	91	0	32
TET1	80	30	91	97	96	55	0	20	0	34
HPD	0	0	0	17	9	0	0	0	0	1
PYROXD2	85	90	149	232	104	98	174	77	264	49
EP400	422	120	386	323	430	269	109	305	112	342
KCNK18	0	0	0	0	0	0	0	0	0	0
PARD3B	76	18	56	75	57	25	0	0	0	9
LRRC3B	0	0	30	0	0	0	0	0	0	0
MTFR1L	1	12	39	9	14	46	0	0	0	7
OSBPL5	562	257	489	680	543	500	195	122	115	212
OR56A4	0	0	0	0	0	0	0	0	0	0
BCL7A	113	44	81	116	118	34	48	21	58	75
NXT2	196	71	14	155	239	212	328	248	66	129
PANX3	0	0	0	0	0	0	0	0	0	4
FAM160B2	103	24	35	71	55	41	196	70	84	30
ZNF283	14	14	21	6	64	51	9	0	0	20
NR5A2	189	20	222	184	91	192	186	64	48	45
METTL24	235	29	163	177	107	131	68	51	0	34
NPTX1	39	0	0	10	22	18	12	2	0	0
CCDC180	73	17	151	29	43	112	78	84	33	39
OR52N4	0	1	0	5	0	0	0	0	0	2
FGD6	98	18	70	32	53	110	47	86	0	81
MGAT4B	552	198	326	463	559	504	191	538	245	233
XIAP	7	0	0	0	12	11	8	0	0	2
FBXW4	216	113	393	230	240	517	407	458	440	141
XPO5	19	15	23	26	32	20	46	0	0	18
TMEM74B	30	17	36	4	46	19	20	20	0	25
PIN4	0	1	0	0	0	0	12	0	0	4
SEPTIN4	12	5	17	14	8	10	0	0	0	5
MBIP	167	53	126	108	213	110	27	75	0	37
OR4C15	0	0	0	0	0	0	0	0	0	0
FOXK2	155	49	53	169	205	118	114	170	234	40
DTX3	19	2	0	4	1	0	0	0	0	1
ABCA12	588	141	326	220	667	139	97	667	454	126
C11orf86	0	0	0	0	0	0	0	0	0	0
PLCL1	10	5	0	8	14	0	8	0	0	2
ZNF558	40	29	74	91	49	128	73	67	27	37
RAB44	33	3	45	25	20	12	18	1	0	28
C11orf87	0	2	31	14	1	0	51	0	0	26
SETD9	14	1	0	12	9	5	0	0	0	12
IL27RA	15	16	88	6	55	58	16	38	35	4
NATD1	0	0	0	0	6	0	16	0	0	3
NEFH	0	2	1	19	14	0	13	0	0	83
POU1F1	0	0	0	0	0	0	0	0	0	0
ZNF71	29	4	30	26	18	19	0	26	0	5
CAPN12	72	15	143	10	56	15	95	113	51	58
IPMK	210	76	43	153	142	135	40	49	0	131
STPG2	0	0	0	0	3	0	0	0	0	0
MAP3K15	0	0	0	2	1	0	0	0	0	0
VDAC3	1026	387	1037	884	1322	1000	683	923	68	1944
BBS9	83	26	37	93	33	13	0	0	48	31
BMP5	0	0	0	7	0	0	0	0	0	0
PLOD1	226	128	296	875	548	543	205	236	67	270
CYP2S1	89	106	185	139	385	164	319	277	278	75
CXorf40A	44	14	40	28	44	64	103	67	29	38
SLC17A7	22	3	0	3	13	14	0	0	0	1
INIP	525	153	437	287	440	432	147	333	170	152
FADS6	0	16	33	0	0	19	0	15	0	3
XKR7	0	0	0	0	0	0	0	0	0	2
TRIP6	900	197	779	852	650	996	628	1095	361	283
MEIOC	0	0	0	0	0	0	0	0	0	0
PPP1CA	520	273	314	443	814	673	1010	1048	538	381
CD14	214	114	383	393	217	185	21	66	0	52
CPEB4	618	409	1291	441	978	800	1122	1924	1278	341
SESTD1	467	188	772	365	558	455	260	342	211	357
IREB2	754	488	1329	917	1190	1204	1742	1741	1011	1468
BHLHA15	0	4	30	0	57	19	0	7	0	61
MDGA1	66	8	69	295	77	177	63	28	0	101
TBC1D8	6	7	48	23	67	23	11	30	0	25
SERPINA2	0	0	0	0	0	0	0	0	0	0
GLI3	188	32	63	174	93	198	87	34	0	87
TIMP3	775	297	747	2163	1808	637	66	86	109	176
MIEF1	14	16	49	16	59	50	10	46	0	15
OR5AS1	0	0	0	0	0	0	0	0	0	0
IL16	82	39	157	170	132	66	27	59	0	35
CCT8	520	206	642	479	553	627	272	453	2	299
NDUFV3	278	149	465	369	488	250	118	131	0	97
POU3F4	0	3	0	0	0	0	0	0	0	0
PCTP	37	168	207	85	514	169	128	275	84	125
MLXIPL	21	20	34	7	0	11	7	9	0	0
SEPTIN9	1711	655	1929	2176	2964	2104	1772	2656	973	1788
LRRC75B	215	50	221	120	80	214	80	147	93	39
USP33	517	136	609	289	525	307	131	275	0	436
PLTP	4385	657	7535	3336	1580	1920	928	1713	393	573
AGAP3	0	10	72	1	18	10	23	11	0	9
SREBF1	37	58	76	26	86	52	132	92	255	27
HCN1	14	14	0	5	4	0	0	0	0	4
RAD51	0	14	32	14	22	24	39	21	7	70
ZNF77	42	4	55	15	36	15	17	12	0	8
TMEM26	0	0	0	0	0	12	0	0	0	1
BPNT1	104	73	151	108	212	130	117	36	33	184
ATP2A3	60	60	26	147	389	165	261	145	0	82
TTC39A	243	7	25	62	73	24	1	20	50	21
SLC6A4	0	0	0	0	0	0	0	0	0	4
ATG5	89	34	0	62	92	53	36	64	0	31
SAMD4A	108	43	111	262	87	70	13	26	42	8
KAT2A	28	5	0	18	22	24	7	0	6	6
MTUS1	92	45	93	81	152	126	115	137	97	233
SPRY1	714	307	679	1302	786	305	384	301	163	273
KIF1A	0	0	0	0	1	5	0	0	0	0
GPR156	0	0	0	9	3	0	0	0	0	4
TCP11	0	0	0	0	0	0	0	0	0	0
IL17RE	89	39	83	88	141	38	49	71	1	32
ARSH	0	4	21	0	3	0	0	0	0	0
TBK1	41	17	19	27	56	88	24	34	43	24
ITGB8	193	164	302	124	495	377	395	545	170	199
AL449403.2	0	0	0	0	0	0	0	0	0	2
CLUL1	0	0	0	0	0	0	0	0	0	3
TRIP11	118	21	93	61	153	97	0	39	79	92
L3MBTL3	30	38	72	63	47	53	26	52	0	6
TRMT1	435	172	459	271	370	503	237	303	80	320
CTNNA2	0	0	0	0	0	0	0	0	0	1
SLC46A1	0	4	0	0	7	0	0	0	0	1
ZNF215	0	12	0	3	118	3	51	50	0	89
TADA2A	5	3	0	5	5	12	0	0	0	3
PRR32	0	0	0	0	0	0	0	0	0	0
PANX1	223	56	318	191	463	407	71	288	126	190
GIMD1	0	0	0	0	0	0	0	0	0	0
SUFU	190	65	123	228	187	153	161	115	39	89
KRTAP15-1	0	0	0	0	0	0	0	0	0	0
PALLD	2603	781	2639	4039	1965	6194	2880	2765	2732	934
HYAL2	748	317	1050	1073	1790	1428	1059	1054	376	1178
DYTN	0	0	0	0	0	0	0	0	0	0
CLEC5A	0	0	0	21	5	14	0	16	0	14
BPIFB4	0	0	0	0	0	0	0	0	0	2
C3orf80	0	6	0	10	8	27	0	14	0	2
SYTL5	0	2	0	0	4	0	0	0	0	3
MAPK8IP2	70	203	403	46	143	137	435	594	887	154
CLEC4G	243	10	299	144	90	42	112	200	0	49
CLUAP1	83	29	148	152	173	84	56	0	0	51
ITIH3	0	10	0	17	0	0	0	0	0	0
CALD1	2912	939	2718	10251	3524	6905	5155	5882	7980	2829
ZC3HAV1L	195	71	170	165	86	222	129	85	66	57
UBR2	402	165	498	331	584	826	502	754	393	885
HOXD1	0	0	0	0	6	0	3	0	0	1
MPP3	16	5	0	0	2	11	0	0	0	0
DNAJB9	47	5	0	9	59	0	10	6	28	14
MSH5-SAPCD1	20	1	38	10	7	10	0	45	0	12
MRAS	0	9	0	41	29	25	0	0	0	0
GLIS2	16	5	10	26	16	14	0	0	0	4
TTC28	55	26	22	100	32	76	36	0	0	1
MORC2	57	19	40	10	40	42	53	26	75	20
COBLL1	464	125	319	220	478	321	126	92	80	267
UCKL1	201	85	41	176	239	177	185	133	172	207
SLAIN1	0	0	0	6	22	13	0	0	0	3
ADA2	39	50	68	90	229	50	14	42	0	40
RETNLB	0	0	0	0	0	0	0	0	0	0
NLRP2	327	63	41	33	130	48	98	10	83	240
CORO2B	14	4	0	4	2	0	0	0	0	0
IRX5	0	7	16	0	10	0	0	0	0	3
KRTAP13-2	0	9	0	0	0	0	0	0	0	2
NFIA	534	241	479	325	464	230	153	153	45	64
CD209	417	111	455	209	444	209	10	97	0	240
NINJ1	299	135	231	196	241	131	71	64	0	15
SNX22	14	3	0	5	6	0	0	0	0	0
SLC25A19	57	29	70	40	204	140	98	143	39	116
BICD2	2045	544	1754	1752	2010	4068	3328	2718	3717	2744
MKS1	88	52	60	72	43	20	91	35	0	43
C22orf24	0	0	0	0	0	0	0	13	0	0
SNTB2	238	105	404	259	223	297	217	258	44	148
RBMXL1	0	7	0	18	30	23	11	0	0	39
ITIH4	189	36	320	261	116	140	74	280	172	94
EMP1	559	136	242	910	1267	393	121	189	153	231
MTREX	280	54	60	228	265	178	119	230	0	182
MRPL40	57	2	0	23	14	0	7	24	0	18
EMID1	318	115	182	309	250	111	14	27	0	43
FAM53C	267	71	263	185	217	206	84	98	0	108
EMP3	1901	879	1503	3494	4854	1681	997	661	357	934
B3GALNT2	24	7	26	40	11	13	0	13	0	28
GH2	0	0	0	0	0	0	0	0	0	0
CSPP1	10	24	112	51	52	46	18	48	1	42
ITIH2	0	0	0	0	0	0	0	0	0	1
ACTL7A	0	0	0	0	0	0	0	0	0	1
PEX11G	37	48	195	94	89	50	136	153	49	54
FBLN7	49	31	27	255	56	80	52	124	60	18
HGD	0	10	0	0	0	0	0	0	0	0
PRL	0	0	0	0	0	0	0	0	0	0
DUSP9	0	0	0	0	7	0	27	40	0	7
MMD	9	2	0	0	5	0	14	0	0	1
REV1	418	112	472	395	561	478	761	807	224	428
KRTAP19-6	0	0	0	0	0	0	0	0	0	0
PYM1	951	424	899	590	1226	813	642	786	406	661
CRYBB3	46	9	0	44	27	57	40	68	0	58
BATF2	0	0	0	0	0	0	0	17	39	1
SLC1A6	0	0	0	0	0	0	0	0	0	1
CKB	14	0	0	27	11	10	0	39	29	5
ULBP2	31	0	0	14	3	62	7	35	0	9
MLKL	175	43	182	30	147	252	82	287	149	83
CCDC159	471	102	216	202	432	359	115	35	1	149
SMIM9	0	0	0	0	0	0	0	0	0	0
TMEM235	0	0	0	0	0	0	0	0	0	0
C11orf40	0	0	0	0	0	0	0	0	0	0
B4GALNT1	0	3	22	14	20	28	53	15	160	2
TMX2	25	20	76	39	64	102	75	50	0	27
SLC17A1	0	0	0	0	0	0	0	0	0	0
CKMT2	0	4	0	22	28	0	0	0	0	0
FANCM	94	20	39	40	43	37	25	19	0	23
OSGEP	248	100	444	170	305	507	348	506	81	227
ZNF549	33	19	103	127	172	75	44	48	27	58
ZC3H11B	14	9	20	0	10	16	8	0	0	6
ARAP3	36	6	22	68	38	106	78	93	55	23
