Gene_name	S02_Normal	S03_Normal	S05_Normal	S06_Normal	S10_Normal	S02_Tumour	S03_Tumour	S05_Tumour	S06_Tumour	S10_Tumour
H2AFY2	0	1	0	0	5	0	0	0	0	0
LTBR	1521	338	613	1067	1247	986	365	595	49	289
MAML3	290	51	133	133	80	128	29	84	0	49
ADAD2	9	4	0	0	0	5	0	0	36	2
DNTT	0	0	0	0	0	0	0	0	0	3
SBNO2	884	265	919	664	1227	1184	395	560	198	665
PCGF6	99	56	164	111	153	179	94	35	0	103
ARL17A	0	5	0	0	0	0	0	0	0	2
PURB	464	229	502	565	822	859	706	911	1051	572
FGF1	0	0	0	0	6	0	0	0	0	0
PCYT1A	238	67	167	186	266	177	73	75	112	47
LRP8	112	42	280	45	288	327	85	262	68	147
NAP1L4	1313	564	1673	1189	2281	1440	1011	1226	305	2103
FAM47A	0	0	0	0	0	0	0	0	0	0
RDM1	0	0	0	8	0	10	0	0	0	8
C1orf195	0	0	0	0	0	0	0	0	0	0
LGI2	12	0	0	0	0	6	0	0	0	0
RNF128	80	190	199	51	423	137	72	13	0	186
PIP4P2	79	34	42	26	46	52	23	38	0	11
CLRN2	0	0	0	0	0	0	0	0	0	0
TRHDE	12	8	0	20	21	0	0	19	0	0
PEX13	855	416	879	632	1490	1106	716	1823	411	3122
NAB1	265	41	117	149	165	284	103	144	42	155
EHD1	213	141	354	582	640	541	496	1053	160	265
TAFA1	0	0	1	0	0	0	0	0	0	5
RPRD1A	605	169	211	310	433	392	205	224	51	268
NAALADL1	9	5	0	8	21	35	20	0	0	11
TRIM15	0	3	27	6	21	0	0	26	0	0
GJA3	0	2	0	2	1	0	0	0	0	0
GINS4	34	13	85	16	15	44	34	29	0	35
SLC25A24	65	21	39	72	131	100	87	204	42	64
ROR1	27	6	0	44	33	15	10	0	0	1
MUC3A	0	0	0	0	0	9	9	0	0	1
GNA12	157	58	229	168	158	458	178	204	161	147
HDAC11	66	70	105	166	162	70	101	172	0	198
SF1	139	74	142	158	234	277	133	121	0	54
SERPINF1	332	303	449	1605	754	382	75	126	0	61
COG1	584	250	676	713	666	770	268	455	223	527
LRRC27	0	1	38	12	11	29	0	0	0	1
TRPV6	0	0	0	0	0	0	8	0	0	1
SGMS1	452	103	247	258	368	201	191	198	49	147
GOLPH3L	338	171	320	239	511	295	313	283	244	720
CHST5	0	0	0	11	0	0	0	0	0	1
PLBD1	31	4	0	10	20	0	0	13	0	33
FAM214A	341	79	206	117	317	185	148	154	50	72
SPINT4	0	0	0	0	0	0	0	0	0	1
LAT2	22	2	38	11	23	29	0	45	0	12
CD163	2147	963	4068	2152	2664	2413	1225	1294	84	765
ADAT2	593	114	756	138	497	450	284	756	75	734
GPR37L1	0	0	0	0	0	0	0	14	0	0
RIPK3	251	54	118	144	165	201	40	37	0	68
AIFM2	0	25	29	90	84	0	34	0	0	29
FAM120B	0	0	0	2	5	0	0	0	0	0
BORCS5	39	21	77	22	26	44	25	27	32	8
HERPUD2	114	24	25	9	19	90	27	6	0	2
BARX1	0	0	0	0	0	0	0	9	49	3
CEP350	232	73	62	118	213	79	13	45	36	144
SEZ6L2	37	13	0	59	26	70	146	89	0	28
VPS9D1	0	6	0	0	0	6	10	0	0	3
TUBB2A	353	28	81	364	288	295	112	183	60	41
PIM2	326	368	1331	374	2047	1080	1671	1675	327	1837
GYS2	0	0	0	0	0	0	0	0	0	0
RCAN1	1031	226	890	3037	833	1609	1168	898	745	456
MAGEB10	0	0	0	0	0	0	0	14	0	0
TRIM49C	0	0	0	0	0	0	0	0	0	0
N4BP2L2	629	87	582	180	488	298	39	171	1	128
TRIL	0	25	17	24	32	13	0	0	37	4
KIF4B	0	0	0	0	0	1	0	0	0	1
ESCO2	29	1	28	0	5	0	40	9	39	8
TSR2	262	173	297	451	543	449	314	458	411	155
