"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene.symbol"
"ENSG00000099949",1843.7966880805,0.222464536303902,0.180255966148257,1.23415907421854,0.217143634237315,0.417621972465324,"LZTR1"
"ENSG00000099953",153.867080435338,0.546532132812812,0.287914391736808,1.89824527185294,0.0576637796425618,0.171239201052731,"MMP11"
"ENSG00000099954",68.446244588798,-3.6385832094743,0.409621320399821,-8.88279742353929,6.51996313137892e-19,7.33752699312577e-17,"CECR2"
"ENSG00000099956",4190.33824579112,0.0181819341457813,0.173890687965692,0.104559561863189,0.916725303713476,0.959402139697657,"SMARCB1"
"ENSG00000099957",11.3047856086957,-1.23590857323883,0.696935982782936,-1.77334590804699,0.076171406306598,0.207669431597726,"P2RX6"
"ENSG00000099958",101.636580621823,1.81318897944132,0.31819544298652,5.69834992740023,1.20972554356126e-08,3.26978073047876e-07,"DERL3"
"ENSG00000099968",2630.11559215248,-0.270826338359905,0.195392760742078,-1.38606127131497,0.165728194952529,0.349864353350786,"BCL2L13"
"ENSG00000099974",102.044308406876,0.297883843344782,0.297963008139741,0.999734313344959,0.317439101728313,0.529321720545352,"DDTL"
"ENSG00000099977",697.317303721797,-0.402294907338797,0.268044644396259,-1.50085038350578,0.133394263741781,0.305086597292909,"DDT"
"ENSG00000099984",32.4999957069374,0.574570587802309,0.433660101459637,1.32493301981987,0.185193367858509,0.376055621682077,"GSTT2"
"ENSG00000099991",3677.80783814774,0.346619361100881,0.1420752556234,2.43968845651539,0.0146999330595367,0.0633396987112871,"CABIN1"
"ENSG00000099992",234.112576574197,0.729314947961153,0.194570038907369,3.74834148184739,0.000178007787139612,0.00171978491123593,"TBC1D10A"
"ENSG00000099994",1052.26671676065,3.53868621735109,0.197847196910385,17.8859557911955,1.51728918339214e-71,4.69575714106811e-68,"SUSD2"
"ENSG00000099995",5055.31328014264,0.572727919875388,0.264975526594016,2.16143704755382,0.0306615948985566,0.109871701210208,"SF3A1"
"ENSG00000099998",45.254431566173,3.55385761340396,0.553409265879669,6.42175300002422,1.34713885023331e-10,5.27743065611444e-09,"GGT5"
"ENSG00000099999",584.127616718742,0.109857923922402,0.182675604822544,0.60138256571873,0.547585208035555,0.732361691732369,"RNF215"
"ENSG00000100003",374.091792146807,0.923751633550479,0.240987685556415,3.83319019566345,0.000126492076833492,0.00126963858093033,"SEC14L2"
"ENSG00000100014",992.281096753648,0.235020208518645,0.183733466805919,1.27913663528105,0.200848944645263,0.396677733792586,"SPECC1L"
"ENSG00000100023",2213.6545314869,-0.152345113157454,0.162303920166262,-0.938640995247639,0.347915097322822,0.559490382106822,"PPIL2"
"ENSG00000100024",19.7198473241005,2.55987222569327,0.72404391277274,3.53552067842154,0.000406972391986377,0.00349056367057508,"UPB1"
"ENSG00000100027",46.344113163883,1.53597124584407,0.396599844236718,3.87284883785102,0.000107570550391975,0.00110357875703237,"YPEL1"
"ENSG00000100028",5402.2901532314,-0.196289100860888,0.264059188597763,-0.743352662345304,0.457268195940799,0.659188970609789,"SNRPD3"
"ENSG00000100029",3643.16002326955,0.33365483320692,0.220087424881425,1.51601043715551,0.129516713288177,0.299203265619327,"PES1"
"ENSG00000100030",4847.02042801584,0.400538582526619,0.209487245124186,1.9119950825129,0.0558768247934193,0.167987314731059,"MAPK1"
"ENSG00000100031",156.651466316437,-1.77422158213542,0.322684900057509,-5.49830990486143,3.83448603574748e-08,9.31970827196268e-07,"GGT1"
"ENSG00000100033",244.147069867298,-0.76109843524516,0.389148419337659,-1.95580502817041,0.0504881263412361,0.156565467272948,"PRODH"
"ENSG00000100034",2300.65431494681,-0.101664550148399,0.186882844645274,-0.54400151250571,0.586440432028701,0.761884305767925,"PPM1F"
"ENSG00000100036",158.218905876322,0.320104524721361,0.242154653519442,1.32190119028896,0.1862010560229,0.377422487642094,"SLC35E4"
"ENSG00000100038",1359.9779010088,-0.228229810468903,0.180126800448388,-1.26705082142565,0.205137118472146,0.401108531790723,"TOP3B"
"ENSG00000100055",17.095882324298,2.34594289560196,0.749022825479701,3.13200454752434,0.00173617186084901,0.0116765575096361,"CYTH4"
"ENSG00000100056",953.464158025863,-0.223137302335078,0.216675024889294,-1.02982474537195,0.303092282348806,0.51445343610009,"ESS2"
"ENSG00000100058",526.457219874129,-0.299478704781043,0.212360028447747,-1.4102404627184,0.158468691830942,0.340859350085643,"CRYBB2P1"
"ENSG00000100060",24.7690842549136,1.54982158349681,0.533944325952335,2.90259022929511,0.00370090531593145,0.0213422704383637,"MFNG"
"ENSG00000100065",1511.79887991131,0.707920633991877,0.203801695607718,3.47357578101067,0.000513572313287989,0.00426118153951951,"CARD10"
"ENSG00000100068",392.259342376406,0.36568599988883,0.299382630992794,1.22146698583069,0.221909258188823,0.423944642948162,NA
"ENSG00000100075",7202.20990779254,-0.131982885127171,0.234703735525639,-0.562338238169002,0.573885590320445,0.752488685864579,"SLC25A1"
"ENSG00000100077",285.467731458347,-0.275929202515889,0.206408815693682,-1.33680919387367,0.181284927376204,0.370841078512054,"GRK3"
"ENSG00000100078",138.950228194698,1.76074905638389,0.358920822808058,4.90567541500786,9.3106386894951e-07,1.68508040765336e-05,"PLA2G3"
"ENSG00000100083",1660.04332026911,0.248282149589041,0.175071490352619,1.41817579258031,0.156139447530287,0.337444938088226,"GGA1"
"ENSG00000100084",495.105715442089,-0.22230488451894,0.290648677406695,-0.764857719300321,0.444356273158943,0.64741087770015,"HIRA"
