"","S02_Normal","S03_Normal","S05_Normal","S06_Normal","S10_Normal","S02_Tumour","S03_Tumour","S05_Tumour","S06_Tumour","S10_Tumour"
"LSM1",150.014560495476,116.099542061043,205.987899146172,148.723033622667,103.877571735446,178.852271798272,200.096171330267,96.7719471732986,68.0736632425247,206.71596786645
"MAST2",101.851991073244,41.3235658183374,84.6748676332088,59.4892134490667,50.0385863847577,116.673161680904,68.4002218322851,44.9021834884106,125.558089980657,19.9244306377302
"JMJD6",435.831775755278,350.266415031622,542.244825420357,401.101514921738,490.88486643275,486.254613951552,776.90401215476,774.949752963775,335.830071996455,977.542378163635
"KIF1BP",72.6386292925463,27.5490438788916,102.586858863311,53.1797514165899,22.1689939679306,49.603559756552,11.2298871664946,9.29010692863666,0,14.9433229782976
"KPNA3",8.68505350236966,7.87115539396904,0,14.421627502804,8.86759758717225,6.98641686712,11.2298871664946,0,0,14.9433229782976
"MAP3K4",73.4281796109435,49.1947212123065,82.2323233745586,34.2513653191596,44.9713877635164,50.302201443264,0,28.6444963632964,0,39.8488612754603
"KDELR2",244.760598703145,110.196175515566,147.366836938565,176.66493690935,149.482359326618,187.934613725528,107.194377498357,95.9977715959122,84.7138920351419,148.187952868118
"LAMP1",2244.69155520336,2249.18265382665,1510.30653326541,3146.61885076806,2614.6744885605,1504.87419317765,1283.26983348033,1587.0599336421,2120.87279702266,2806.85416609024
"LRIF1",140.539956674709,82.6471316366749,192.96099643337,57.6865100112162,110.844969839653,112.481311560632,131.695949497982,188.124665304892,148.249311061498,251.545936801343
"MAPKAPK5",22.89695923352,1.96778884849226,0,24.3364964109818,15.2015958637239,23.753817348208,19.3970778330361,25.5477940537508,0,27.396092126879
"JAK1",378.194602512279,253.844761455501,210.058806243922,451.577211181552,297.697918997926,488.350539011688,261.350101329328,441.280079110242,273.807401042155,276.451475098506
"WASHC4",214.75768660405,114.131753212551,73.2763277595077,127.991944087386,98.17697328655,271.771616130968,63.2957276656966,33.2895498276147,0,155.659614357267
"KMT2E",182.386123549763,131.841852848981,73.2763277595077,164.046012844396,102.610772080136,90.1247775858479,24.5015719996245,27.0961452085236,0,17.4338768080139
