"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PLEKHH3",423.940298408553,-0.126798247757343,0.423915710292524,-0.299111933525289,0.76485464124243,0.884159730991665
"PARP15",52.8796989810178,0.00118915323783322,0.907172701493066,0.00131083445949824,0.998954105722522,0.999425886152117
"POP7",115.039404119731,-0.377076098102359,0.38667408696281,-0.975178091358953,0.329471927646857,0.568417746689972
"SHISA4",111.862698508164,0.588455770471992,0.447959475550717,1.31363617155001,0.188968670069475,0.420667797282365
"DIPK1B",20.995981828767,0.240636690828458,1.27383202499862,0.188907710048128,0.850165150635043,0.929002873644955
"COX14",406.991699909224,-0.0332274538285792,0.31993032148616,-0.103858407900286,0.917281714233397,0.963901892888866
"TMEM42",32.0829786674374,-0.110651190197129,0.6307843809032,-0.175418405317347,0.860750879460169,0.933991202811207
"PLCH2",194.715481622314,-0.298829358198924,0.401924271294367,-0.7434966722377,0.457181035503836,0.678719785425982
"RAPGEF1",577.191723517984,0.911863616622367,0.308523459095864,2.95557303582233,0.00312088795751538,0.0351426375813815
"GGCT",87.4401312245341,-2.12181148515559,0.717526013479056,-2.95712133817644,0.00310525893771598,0.0349965336348059
"AXIN1",545.666990005398,2.04462093245279,0.333254274951246,6.1353179422887,8.49890456605032e-10,2.94911988441946e-07
"TRBV6-2",55.0517086569755,0.240892633554761,1.24406254809844,0.193633860229108,0.846462583312606,0.926987813050972
"RPS6KB1",7.60595980622802,-3.18857102763281,2.26732526169285,-1.40631389836504,0.159630934883026,0.381587157417735
"ARHGAP39",184.620956848103,-0.491124006045042,0.441030674236332,-1.11358242121242,0.265458371234272,0.505373412404666
"TEX10",283.050157074638,0.275175738348104,0.505150912733406,0.544739663755351,0.585932581224623,0.77439180274911
"ADAP1",176.344954682104,0.400118296826277,0.35596174830603,1.12404857749571,0.260992418473319,0.501376169870219
"PCIF1",409.966304659651,-0.3907772971073,0.351837549228637,-1.11067536129681,0.26670811135657,0.506420760128751
"SMARCA5",347.530860521245,-0.73128341048363,0.496875995646707,-1.47176240528953,0.141085048989252,0.356115516074327
"TP53BP2",160.331119619622,0.617483509235549,0.431562322500428,1.43080958888606,0.15248479417115,0.371354464892102
"RDH10",227.867706170586,0.974013597639518,0.48052933266549,2.02695971177592,0.042666533050398,0.183067092615636
"GSDMA",1116.27326297173,-1.04129872535617,0.530444070081276,-1.9630697826382,0.0496380661185169,0.198823675528179
"TET3",224.299967621898,0.829591541247369,0.39181938121038,2.11728051502877,0.03423604758047,0.159046313133688
